Epoch,Train Loss,Trian Time,Valid Loss,Valid Time,Eval Metrics,Test Loss,Test Metrics,Test Time,Time,Test Result Dir
1,605.34146463871,0:00:05,49.788855731487274,0:00:01,"{0: {'f1': 0.306880301602262, 'precision': 0.2622422680412371, 'accuracy': 0.926284557246246, 'roc_auc_score': 0.6609016855517168}, 1: {'f1': 0.6237211296942964, 'precision': 0.9397701573821942, 'accuracy': 0.5074677733004551, 'roc_auc_score': 0.629075486043427}}",49.75772285461426,"{0: {'f1': 0.306880301602262, 'precision': 0.2622422680412371, 'accuracy': 0.926284557246246, 'roc_auc_score': 0.6609016855517168}, 1: {'f1': 0.6237211296942964, 'precision': 0.9397701573821942, 'accuracy': 0.5074677733004551, 'roc_auc_score': 0.629075486043427}}",0:00:02,20211226_1940,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/census_income_mmoe/results/Model_LR0.0001_Batch1024_LossBCELoss
2,233.8413965702057,0:00:04,46.75085139274597,0:00:01,"{0: {'f1': 0.34419727539230904, 'precision': 0.32152061855670105, 'accuracy': 0.9237585453379042, 'roc_auc_score': 0.6628417582744229}, 1: {'f1': 0.6291988259593434, 'precision': 0.9349702312272119, 'accuracy': 0.5213207433692187, 'roc_auc_score': 0.6386061501934565}}",46.769126892089844,"{0: {'f1': 0.34419727539230904, 'precision': 0.32152061855670105, 'accuracy': 0.9237585453379042, 'roc_auc_score': 0.6628417582744229}, 1: {'f1': 0.6291988259593434, 'precision': 0.9349702312272119, 'accuracy': 0.5213207433692187, 'roc_auc_score': 0.6386061501934565}}",0:00:02,20211226_1940,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/census_income_mmoe/results/Model_LR0.0001_Batch1024_LossBCELoss
3,210.95088756084442,0:00:05,44.57159876823425,0:00:01,"{0: {'f1': 0.33857979502196195, 'precision': 0.2980025773195876, 'accuracy': 0.927547563200417, 'roc_auc_score': 0.6730478701833515}, 1: {'f1': 0.0066200809121000365, 'precision': 0.003323025799603083, 'accuracy': 0.5668090054329303, 'roc_auc_score': 0.706694726247797}}",44.603790640830994,"{0: {'f1': 0.33857979502196195, 'precision': 0.2980025773195876, 'accuracy': 0.927547563200417, 'roc_auc_score': 0.6730478701833515}, 1: {'f1': 0.0066200809121000365, 'precision': 0.003323025799603083, 'accuracy': 0.5668090054329303, 'roc_auc_score': 0.706694726247797}}",0:00:02,20211226_1940,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/census_income_mmoe/results/Model_LR0.0001_Batch1024_LossBCELoss
4,194.468627512455,0:00:05,39.922436594963074,0:00:01,"{0: {'f1': 0.34346846846846846, 'precision': 0.29478092783505155, 'accuracy': 0.9298730979731762, 'roc_auc_score': 0.6827442357128419}, 1: {'f1': 0.6845083706672956, 'precision': 0.5359302164582084, 'accuracy': 0.7854092740722921, 'roc_auc_score': 0.8398949476998618}}",39.891088128089905,"{0: {'f1': 0.34346846846846846, 'precision': 0.29478092783505155, 'accuracy': 0.9298730979731762, 'roc_auc_score': 0.6827442357128419}, 1: {'f1': 0.6845083706672956, 'precision': 0.5359302164582084, 'accuracy': 0.7854092740722921, 'roc_auc_score': 0.8398949476998618}}",0:00:02,20211226_1940,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/census_income_mmoe/results/Model_LR0.0001_Batch1024_LossBCELoss
5,184.3542754650116,0:00:05,37.740214228630066,0:00:01,"{0: {'f1': 0.3315874294923449, 'precision': 0.2651417525773196, 'accuracy': 0.9334816864136645, 'roc_auc_score': 0.6974865331095065}, 1: {'f1': 0.7914947973494425, 'precision': 0.6863432870263534, 'accuracy': 0.8429261642709649, 'roc_auc_score': 0.8673210869529138}}",37.746156454086304,"{0: {'f1': 0.3315874294923449, 'precision': 0.2651417525773196, 'accuracy': 0.9334816864136645, 'roc_auc_score': 0.6974865331095065}, 1: {'f1': 0.7914947973494425, 'precision': 0.6863432870263534, 'accuracy': 0.8429261642709649, 'roc_auc_score': 0.8673210869529138}}",0:00:02,20211226_1940,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/census_income_mmoe/results/Model_LR0.0001_Batch1024_LossBCELoss
6,164.4131925702095,0:00:04,29.460977911949158,0:00:01,"{0: {'f1': 0.330517652155079, 'precision': 0.24581185567010308, 'accuracy': 0.9380325173913915, 'roc_auc_score': 0.727948166010356}, 1: {'f1': 0.8279899359788755, 'precision': 0.7670189689389394, 'accuracy': 0.8615705378801548, 'roc_auc_score': 0.8693762479991427}}",29.473259270191193,"{0: {'f1': 0.330517652155079, 'precision': 0.24581185567010308, 'accuracy': 0.9380325173913915, 'roc_auc_score': 0.727948166010356}, 1: {'f1': 0.8279899359788755, 'precision': 0.7670189689389394, 'accuracy': 0.8615705378801548, 'roc_auc_score': 0.8693762479991427}}",0:00:02,20211226_1941,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/census_income_mmoe/results/Model_LR0.0001_Batch1024_LossBCELoss
7,146.7817743420601,0:00:05,26.239969611167908,0:00:01,"{0: {'f1': 0.3274526678141136, 'precision': 0.24516752577319587, 'accuracy': 0.9373308474168521, 'roc_auc_score': 0.7222017313998298}, 1: {'f1': 0.8460562644578764, 'precision': 0.7849263857479116, 'accuracy': 0.8759247007878751, 'roc_auc_score': 0.8844219098326069}}",26.253352850675583,"{0: {'f1': 0.3274526678141136, 'precision': 0.24516752577319587, 'accuracy': 0.9373308474168521, 'roc_auc_score': 0.7222017313998298}, 1: {'f1': 0.8460562644578764, 'precision': 0.7849263857479116, 'accuracy': 0.8759247007878751, 'roc_auc_score': 0.8844219098326069}}",0:00:02,20211226_1941,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/census_income_mmoe/results/Model_LR0.0001_Batch1024_LossBCELoss
8,137.60115486383438,0:00:05,24.221469193696976,0:00:01,"{0: {'f1': 0.3259873445341479, 'precision': 0.24065721649484537, 'accuracy': 0.9380726128185081, 'roc_auc_score': 0.7281873295263057}, 1: {'f1': 0.858977197254815, 'precision': 0.8058337564037477, 'accuracy': 0.8850664581704457, 'roc_auc_score': 0.8917270426960202}}",24.214642882347107,"{0: {'f1': 0.3259873445341479, 'precision': 0.24065721649484537, 'accuracy': 0.9380726128185081, 'roc_auc_score': 0.7281873295263057}, 1: {'f1': 0.858977197254815, 'precision': 0.8058337564037477, 'accuracy': 0.8850664581704457, 'roc_auc_score': 0.8917270426960202}}",0:00:02,20211226_1941,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/census_income_mmoe/results/Model_LR0.0001_Batch1024_LossBCELoss
9,129.33923786878586,0:00:05,23.322292238473892,0:00:01,"{0: {'f1': 0.32450331125827814, 'precision': 0.23679123711340205, 'accuracy': 0.9386539965116978, 'roc_auc_score': 0.7332685233172057}, 1: {'f1': 0.863161047193591, 'precision': 0.7981261826741127, 'accuracy': 0.8900783865600128, 'roc_auc_score': 0.9003925176961848}}",23.30982682108879,"{0: {'f1': 0.32450331125827814, 'precision': 0.23679123711340205, 'accuracy': 0.9386539965116978, 'roc_auc_score': 0.7332685233172057}, 1: {'f1': 0.863161047193591, 'precision': 0.7981261826741127, 'accuracy': 0.8900783865600128, 'roc_auc_score': 0.9003925176961848}}",0:00:02,20211226_1941,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/census_income_mmoe/results/Model_LR0.0001_Batch1024_LossBCELoss
10,125.97971850633621,0:00:05,22.266132086515427,0:00:01,"{0: {'f1': 0.32862994993172506, 'precision': 0.23260309278350516, 'accuracy': 0.9408592450031074, 'roc_auc_score': 0.755334249380089}, 1: {'f1': 0.8696206566783551, 'precision': 0.8183874094244704, 'accuracy': 0.8934063070106855, 'roc_auc_score': 0.8999001017612491}}",22.257183521986008,"{0: {'f1': 0.32862994993172506, 'precision': 0.23260309278350516, 'accuracy': 0.9408592450031074, 'roc_auc_score': 0.755334249380089}, 1: {'f1': 0.8696206566783551, 'precision': 0.8183874094244704, 'accuracy': 0.8934063070106855, 'roc_auc_score': 0.8999001017612491}}",0:00:02,20211226_1941,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/census_income_mmoe/results/Model_LR0.0001_Batch1024_LossBCELoss
